pc_name,total_votes
ARUNACHAL EAST,261291.0
ARUNACHAL WEST,335665.0
Adilabad ,1045839.0
Agra,1070400.0
Ahmadnagar ,1062318.0
Ahmedabad East,985525.0
Ahmedabad West,964609.0
Ajmer,1156314.0
Akbarpur,971375.0
Akola,978491.0
Alappuzha,997464.0
Alathur ,927228.0
Aligarh,1064357.0
Alipurduars,1223566.0
Allahabad,891586.0
Almora,656525.0
Alwar,1062305.0
Amalapuram ,1120927.0
Ambala,1218995.0
Ambedkar Nagar,1034404.0
Amethi,874625.0
Amravati ,1004061.0
Amreli,808816.0
Amritsar,1007196.0
Amroha,1095860.0
Anakapalli,1148072.0
Anand,970894.0
Anandpur Sahib,1086563.0
Anantapur,1212145.0
Anantnag,375279.0
Andaman & Nicobar Islands,190328.0
Aonla,995641.0
Arakkonam,1089052.0
Arambagh,1361934.0
Arani,1096046.0
Araria,975811.0
Arrah,893213.0
Aruku ,909614.0
Asansol,1142395.0
Attingal,859350.0
Aurangabad,1769207.0
Autonomous District,543280.0
Azamgarh,960218.0
BALAGHAT,1113364.0
BETUL,1047719.0
BHARATPUR,962432.0
BHIND,729084.0
BHOPAL,1130182.0
Badaun,1027594.0
Bagalkot,1079310.0
Baghpat,1004263.0
Baharampur,1154587.0
Bahraich,934263.0
Ballia,942211.0
Balurghat,1063053.0
Banaskantha,886634.0
Banda,858326.0
Bangalore North,1356718.0
Bangalore Rural,1455244.0
Bangalore South,1113726.0
Bangalore central,1074589.0
Bangaon,1283688.0
Banka,899353.0
Bankura,1236319.0
Bansgaon,877877.0
Banswara,1171188.0
Bapatla ,1184634.0
Barabanki,1068168.0
Baramati,1066556.0
Baramulla,465992.0
Barasat,1269331.0
Bardhaman Purba,1320822.0
Bardoli,1206179.0
Bareilly,1017891.0
Barmer,1219119.0
Barpeta,1205863.0
Barrackpore,1051130.0
Basirhat,1273771.0
Basti,1048534.0
Bathinda,1176767.0
Beed,1232200.0
Begusarai,1077855.0
Belgaum,1078528.0
Bellary,1045772.0
Bhadohi,981866.0
Bhagalpur,974016.0
Bhandara - gondiya,1197196.0
Bharuch,1060211.0
Bhavnagar,917402.0
Bhilwara,1104090.0
Bhiwandi,875605.0
Bhiwani-Mahendragarh,1030431.0
Bhongir ,1211732.0
Bidar,959384.0
Bijapur,966757.0
Bijnor,1060346.0
Bikaner,929751.0
Birbhum,1275819.0
