state,total_electors,total_votes
Andaman & Nicobar Islands,4309760.0,190328.0
Andhra Pradesh,1028145613.0,48367188.0
Arunachal Pradesh,5270576.0,596956.0
Assam,244104644.0,15085883.0
Bihar,1035357611.0,35885332.0
Chandigarh,11073852.0,453455.0
Dadra & Nagar Haveli,2359164.0,165286.0
Daman & Diu,559135.0,87233.0
Goa,11212896.0,817000.0
Gujarat,564710813.0,25824003.0
Haryana,384048106.0,11495151.0
Himachal Pradesh,50817486.0,3098500.0
Jammu & Kashmir,112439488.0,3566863.0
Jharkhand,382973302.0,12982940.0
Karnataka,768395021.0,31038861.0
Kerala,352239000.0,17975895.0
Lakshadweep,349454.0,43239.0
Madhya Pradesh,687168390.0,29639807.0
Maharashtra,1605928601.0,48717419.0
Manipur,17807339.0,1412636.0
Meghalaya,10586163.0,1078058.0
Mizoram,2808680.0,433201.0
NCT OF Delhi,277906739.0,8271766.0
Nagaland,4731888.0,1038910.0
Puducherry,27942067.0,740017.0
Punjab,401855600.0,13845132.0
Rajasthan,594266185.0,27110642.0
Sikkim,2595390.0,308967.0
Tamil Nadu,1263292517.0,40607149.0
Tripura,32303232.0,2023829.0
Uttar Pradesh,2381377634.0,81093120.0
Uttarakhand,116314047.0,4391890.0
West Bengal,766620622.0,51631828.0
