pc_name,total_votes
ARUNACHAL EAST,293781.0
ARUNACHAL WEST,358310.0
Adilabad ,1063730.0
Agra,1145323.0
Ahmadnagar ,1203797.0
Ahmedabad East,1116367.0
Ahmedabad West,997024.0
Ajmer,1262214.0
Akbarpur,1025314.0
Akola,1119440.0
Alappuzha,1088728.0
Alathur ,1018743.0
Aligarh,1163184.0
Alipurduars,1380217.0
Allahabad,889056.0
Almora,694472.0
Alwar,1265674.0
Amalapuram ,1232895.0
Ambala,1316235.0
Ambedkar Nagar,1090152.0
Amethi,942453.0
Amravati ,1112385.0
Amreli,909167.0
Amritsar,859513.0
Amroha,1169182.0
Anakapalli,1238491.0
Anand,1108661.0
Anandpur Sahib,1081727.0
Anantapur,1342306.0
Anantnag,124896.0
Andaman & Nicobar Islands,207296.0
Aonla,1052795.0
Arakkonam,1178060.0
Arambagh,1471981.0
Arani,1143907.0
Araria,1169630.0
Arrah,1080684.0
Aruku ,1074538.0
Asansol,1238135.0
Aska,1013862.0
Attingal,1004888.0
Aurangabad,2133122.0
Autonomous District,617735.0
Azamgarh,1029112.0
BALAGHAT,1372018.0
BASTAR,912846.0
BETUL,1357857.0
BHARATPUR,1146797.0
BHIND,960687.0
BHOPAL,1407954.0
BILASPUR,1209434.0
Badaun,1081111.0
Bagalkot,1204613.0
Baghpat,1044894.0
Baharampur,1299997.0
Bahraich,989848.0
Balasore,1157871.0
Ballia,989732.0
Balurghat,1197849.0
Banaskantha,1102081.0
Banda,1034549.0
Bangalore North,1559459.0
Bangalore Rural,1621906.0
Bangalore South,1188491.0
Bangalore central,1197234.0
Bangaon,1407758.0
Banka,995806.0
Bankura,1371855.0
Bansgaon,969136.0
Banswara,1439671.0
Bapatla ,1266492.0
Barabanki,1155341.0
Baramati,1304728.0
Baramulla,455550.0
Barasat,1395429.0
Bardhaman Durgapur,1433007.0
Bardhaman Purba,1439286.0
Bardoli,1348038.0
Bareilly,1068342.0
Bargarh,1247912.0
Barmer,1422271.0
Barpeta,1458549.0
